seed,reviewers,items,ranking,runtime
6,3020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 9, 8]",0.016865530000359286
6,4020,10,"[0, 1, 2, 3, 4, 5, 6, 8, 7, 9]",0.08867899399774615
6,5020,10,"[1, 0, 3, 2, 4, 5, 6, 7, 8, 9]",0.023561907997645903
6,6020,10,"[1, 0, 2, 4, 3, 5, 6, 7, 8, 9]",0.02905307099717902
6,7020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 8, 9]",0.09053935999691021
6,8020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.0387079639986041
6,9020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.11024777899729088
7,1020,10,"[0, 1, 2, 4, 3, 6, 5, 8, 7, 9]",0.008244397002272308
7,2020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 9, 8]",0.015786841002409346
7,3020,10,"[0, 1, 2, 3, 5, 4, 7, 6, 8, 9]",0.015554275996692013
7,4020,10,"[0, 1, 2, 3, 4, 6, 5, 7, 8, 9]",0.07364064399735071
7,5020,10,"[0, 1, 2, 3, 4, 6, 5, 7, 8, 9]",0.02522740000131307
7,6020,10,"[0, 1, 2, 3, 5, 4, 6, 8, 7, 9]",0.029956026999570895
7,7020,10,"[0, 1, 2, 3, 5, 4, 7, 6, 8, 9]",0.1015943509992212
7,8020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.05673138299607672
7,9020,10,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9]",0.12021348499547457
8,1020,10,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9]",0.004924018001474906
8,2020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.010774355003377423
8,3020,10,"[0, 1, 2, 3, 4, 6, 5, 7, 8, 9]",0.016745777997130062
8,4020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 9, 8]",0.020063648000359535
8,5020,10,"[0, 1, 3, 2, 5, 4, 6, 7, 8, 9]",0.08724416599579854
8,6020,10,"[0, 1, 2, 3, 5, 4, 7, 6, 8, 9]",0.028978053996979725
8,7020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 8, 9]",0.10178526399977272
8,8020,10,"[0, 1, 2, 3, 5, 4, 6, 7, 8, 9]",0.0385449880050146
8,9020,10,"[0, 1, 2, 3, 5, 4, 7, 6, 8, 9]",0.1158086369978264
9,1020,10,"[0, 2, 1, 3, 4, 5, 7, 6, 8, 9]",0.005504392000148073
9,2020,10,"[0, 1, 2, 3, 4, 5, 7, 6, 8, 9]",0.017537018000439275
9,3020,10,"[0, 1, 3, 2, 4, 5, 6, 8, 7, 9]",0.017820507993747015
9,4020,10,"[0, 1, 3, 2, 4, 6, 5, 7, 8, 9]",0.022607058999710716
9,5020,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.026916646005702205
9,6020,10,"[0, 2, 1, 4, 3, 5, 6, 8, 7, 9]",0.10425183600455057
9,7020,10,"[1, 0, 2, 3, 4, 6, 5, 8, 7, 9]",0.03831596300005913
9,8020,10,"[0, 2, 1, 3, 5, 4, 7, 6, 9, 8]",0.102328276996559
9,9020,10,"[0, 1, 2, 4, 3, 6, 5, 7, 8, 9]",0.04682031899574213
